Game Id	Game Name	Category	Provider Name
150057	Andar Bahar 50	Live	MAC88
150058	Super Over	Live	MAC88
150059	Center card	Live	MAC88
150062	Football StudIo	Live	MAC88
150063	Dream Wheel	Live Game Shows	MAC88
150066	20 20 Teenpatti 2	Live	MAC88
150067	Dragon Tiger 2	Live	MAC88
150068	Lucky 5	Live	MAC88
150070	AK47 Teenpatti	Live	MAC88
150071	Teenpatti Joker 20-20	Live	MAC88
150072	Teenpatti Joker One Day	Live	MAC88
150073	Turbo Auto Roulette	Live Roulette	MAC88
150074	Speed Auto Roulette	Live Roulette	MAC88
150075	Poison Teenpatti 20 20	Live	MAC88
150076	Unique Teenpatti	Live	MAC88
150599	MAC Excite Lobby	Lobby	MAC88
150600	Dragon Tiger	Live	MAC88
150601	Baccarat	Live	MAC88
150602	Sic Bo	Live	MAC88
150603	Roulette	Live	MAC88
150604	Poker 20-20	Live	MAC88
150605	Lucky 7	Live	MAC88
150606	Andar Bahar	Live	MAC88
150607	Teenpatti One Day	Live	MAC88
150608	32 Cards	Live	MAC88
150609	Dragon Tiger Lion	Live	MAC88
150610	Amar Akbar Anthony	Live	MAC88
150611	3 Cards Judgement	Live	MAC88
150612	Queen Race	Live	MAC88
150613	Race 20	Live	MAC88
150614	Casino War	Live	MAC88
150615	Worli Matka	Live	MAC88
150616	Lottery	Live	MAC88
150617	Test Teenpatti	Live	MAC88
150619	Trio	Live	MAC88
150620	29 Baccarat	Live	MAC88
150621	Two Card Teenpatti	Live	MAC88
150622	Muflis Teenpatti One Day	Live	MAC88
150623	Bollywood Casino	Live	MAC88
150624	Poker 1-Day	Live	MAC88
150625	20-20 Teenpatti	Live	MAC88
150626	Super Over	Live	MAC88
150627	5 Five Cricket	Live	MAC88
150628	1 Day Dragon Tiger	Live	MAC88
150629	Dus Ka Dum	Live	MAC88
150630	One Card 20 20	Live	MAC88
150633	6 Player Poker	Live	MAC88
150634	Instant 2 Cards Teenpatti	Live	MAC88
150635	Race to 17	Live	MAC88
150636	Note Number	Live	MAC88
150637	Cricket Match 20-20	Live	MAC88
150640	Open Teen patti	Live	MAC88
150641	Center Card One Day	Live	MAC88
150642	High Low	Live	MAC88
150644	10 - 10 cricket	Live	MAC88
150645	20 20 Teenpatti 2	Live	MAC88
150646	Dragon Tiger 2	Live	MAC88
150647	Muflis Teenpatti	Live	MAC88
150648	One Card One Day	Live	MAC88
150649	AK47 Teenpatti	Live	MAC88
150650	Center Card	Live	MAC88
150651	Lucky 5	Live	MAC88
150653	Instant Worli	Live	MAC88
150654	Instant Super Over	Live	MAC88
150655	Instant Teenpatti	Live	MAC88
150656	Andar Bahar 50	Live	MAC88
150657	FootBall Studio Dice	Game Shows	MAC88
150658	Dream Wheel	Live Game Shows	MAC88
150661	Teenpatti Joker 20-20	Live	MAC88
150662	Joker Teenpatti One Day	Live	MAC88
